1K,16K,64K,256K,1M
1.15272448E8,3.6708528E8,8.71749376E8,1.040919936E9,1.118955904E9
1.09554224E8,5.28619808E8,7.28804032E8,1.063505856E9,1.145523584E9
1.12851528E8,5.20977472E8,9.1242048E8,1.046608832E9,1.123351808E9
1.14107056E8,4.61652544E8,8.64062656E8,1.067923264E9,1.145334784E9
1.14258288E8,3.66986784E8,8.6541216E8,1.043678336E9,1.123910144E9
1.16919408E8,3.6829952E8,8.78206464E8,1.055676608E9,1.13336192E9
1.18664776E8,3.69060704E8,7.5665856E8,1.04080736E9,1.133308928E9
1.14914792E8,5.20326912E8,9.1312608E8,1.06352832E9,1.13328128E9
1.1253024E8,5.22493344E8,9.0979136E8,1.046147392E9,1.133206656E9
1.1547744E8,5.1757488E8,8.48879552E8,1.05324608E9,1.144956544E9
1.16334528E8,4.64937856E8,8.46656E8,1.044178496E9,1.122544384E9
1.15267136E8,3.67453728E8,8.69560512E8,1.062795456E9,1.145345792E9
1.11589704E8,5.16293888E8,8.63492544E8,1.04287008E9,1.123330816E9
1.14386368E8,4.62908032E8,8.6366272E8,1.064094208E9,1.144905984E9
1.03883152E8,3.70050848E8,8.6856096E8,1.040796416E9,1.123432832E9
1.1792452E8,3.6889904E8,8.65093952E8,1.063275648E9,1.144592256E9
1.13131128E8,5.20907936E8,7.38861056E8,1.045567552E9,1.121099648E9
1.16265544E8,4.59741056E8,9.09625856E8,1.054991808E9,1.145332096E9
1.15202064E8,3.67588768E8,8.62803456E8,1.041049408E9,1.144045312E9
1.15501448E8,3.70614848E8,8.61806592E8,1.064778432E9,1.119031424E9
1.14078416E8,5.22959552E8,8.69175488E8,1.026089536E9,1.143958912E9
1.12020976E8,4.5793312E8,8.5933376E8,1.077127808E9,1.124873856E9
1.11000112E8,3.687528E8,8.67562496E8,1.04094112E9,1.1504096E9
1.14126584E8,3.70315488E8,8.76314944E8,1.061407808E9,1.118553344E9
1.13009664E8,5.89646528E8,8.49942656E8,1.049066816E9,1.145270528E9
1.13836872E8,4.78750944E8,9.14934016E8,1.048595904E9,1.122739584E9
1.1497556E8,5.092168E8,8.2396608E8,1.072064064E9,1.145953408E9
1.02544112E8,3.68837824E8,8.7743712E8,1.0487136E9,1.138970624E9
1.18376808E8,3.67970048E8,8.55545216E8,1.050567616E9,1.140333056E9
1.06624584E8,5.20928288E8,8.74270336E8,1.046852864E9,1.139816576E9
1.13564088E8,4.59453248E8,8.59800192E8,1.055681856E9,1.139928832E9
1.14573776E8,3.6857696E8,8.683712E8,1.061101632E9,1.142394624E9
1.152658E8,5.27796736E8,8.7661504E8,1.04512192E9,1.141542656E9
1.17113848E8,4.62072512E8,8.52116544E8,1.074320256E9,1.1423968E9
1.12355768E8,3.5114672E8,9.1439936E8,1.045167616E9,1.135021952E9
1.15056264E8,5.19814688E8,8.68513792E8,1.052283712E9,1.145122048E9
1.15345576E8,4.61504736E8,8.24655104E8,1.061649472E9,1.123138304E9
1.16162904E8,5.25261792E8,8.60872256E8,1.044918784E9,1.145656064E9
1.13764352E8,5.23772768E8,8.65016832E8,1.054249792E9,1.123679488E9
1.14077112E8,4.6215392E8,8.7510112E8,1.06288896E9,1.14515328E9
1.14041984E8,5.4606016E8,8.49388736E8,1.043273472E9,1.123716096E9
1.13455856E8,5.29519008E8,8.80969984E8,1.074417152E9,1.145335808E9
1.15416128E8,4.56317536E8,8.64999296E8,1.025984704E9,1.130410496E9
1.17238784E8,3.62108928E8,8.66723648E8,1.073349632E9,1.128071808E9
1.128974E8,5.19450176E8,8.5200992E8,1.060708608E9,1.132235392E9
1.09559016E8,4.57463104E8,8.61261504E8,1.041644608E9,1.144723968E9
1.14349752E8,3.70498144E8,8.68608128E8,1.080841472E9,1.142077568E9
